E_HE1,E_LI1,E_C1,E_C2,E_C3,E_N2,E_N3,E_O1,E_O2,E_NE1,E_NE2,E_NA1,E_MG1,E_MG2,E_AL1,E_AL2,E_AL3,E_SI1,E_SI2,E_SI3,E_SI4,E_S1,E_S2,E_S3,E_CA1,E_CA2,E_SC1,E_SC2,E_TI1,E_TI2,E_V1,E_V2,E_CR1,E_CR2,E_MN1,E_FE1,E_FE2,E_FE3,E_CO1,E_NI1,E_CU1,E_ZN1,E_SR1,E_Y1,E_Y2,E_ZR1,E_ZR2,E_NB1,E_MO1,E_RU1,E_BA2,E_LA2,E_CE2,E_PR2,E_ND2,E_SM2,E_EU2,E_GD2,E_DY2,E_VEIL,E_FEH
,0.3,0.02,,,,,0.1,,,,0.07,0.05,,0.03,,,0.07,0.09,,,,,,0.11,0.07,0.04,0.13,0.09,0.1,0.08,,0.09,0.09,0.13,0.06,0.1,,0.06,0.09,0.08,0.13,,,0.1,0.05,0.05,,0.0,,0.09,0.0,0.01,,0.11,,0.05,,,,0.078374274
,0.05,0.03,,,,,0.02,,,,0.09,0.08,,0.13,,,0.1,0.08,,,0.09,,,0.07,0.04,,0.1,0.11,0.08,0.16,,0.1,0.07,0.06,0.07,0.09,,0.1,0.08,0.08,0.03,,,0.1,,,,,,0.1,0.0,,,0.27,,0.04,,,,0.065011084
,0.05,0.05,,,,,0.02,,,,0.09,0.06,,0.05,,,0.1,0.07,,,0.0,,,0.08,0.04,0.17,0.09,0.11,0.09,0.19,,0.1,0.08,0.07,0.07,0.09,,0.1,0.09,0.11,0.03,,,0.08,,,,,,0.09,0.0,,,0.26,,0.04,,,,0.06395379
,,,,,,,,,,,0.01,0.07,,0.0,,,0.18,,,,,,,0.02,,,,0.14,0.04,,,0.1,,,0.0,0.0,,,0.06,,,,,0.0,,,,,,0.0,,,,,,,,,,0.030437237
,,0.09,,,,,0.04,,,,0.11,0.12,,0.1,,,0.08,0.05,,,0.09,,,0.1,0.05,0.17,0.12,0.14,0.09,0.13,,0.11,0.07,0.08,0.08,0.08,,0.09,0.09,0.06,0.06,,,0.1,,0.1,,,,0.1,0.0,,,0.14,,0.04,,,,0.06316098
,,0.05,,,,,,,,,0.18,0.27,,0.18,,,0.16,,,,,,,0.54,,,0.46,0.41,0.55,0.41,,0.66,0.6,0.36,0.37,0.29,,0.35,0.63,0.35,0.11,,,0.39,0.44,,,,,0.23,0.4,0.75,,0.75,,0.12,,,,0.0
,,0.04,,,,,0.08,,,,0.85,0.26,,0.5,,,0.28,,,,0.06,,,0.52,0.06,,0.34,0.62,0.44,0.59,,0.74,0.56,0.64,0.44,0.47,,0.43,0.53,0.22,0.12,,,0.36,0.4,0.11,,,,0.15,,0.27,,0.53,,,,,,0.0
,0.05,0.07,,,,,0.05,,,,0.1,0.09,,0.03,,,0.06,0.04,,,0.09,,,0.13,0.04,,0.12,0.12,0.08,0.19,,0.1,0.09,0.16,0.08,0.1,,0.11,0.1,0.15,0.05,,,0.1,,0.1,,,,0.12,0.0,,,0.18,,0.04,,,,0.13125238
,,0.05,,,,,0.09,,,,0.6,0.24,,0.4,,,0.19,0.17,,,0.06,,,0.51,0.06,,0.28,0.55,0.44,0.74,,0.66,0.42,0.56,0.44,0.43,,0.49,0.57,0.19,0.16,,,0.46,0.59,0.11,,,,0.25,,0.24,,0.76,,0.17,,,,0.0
,0.06,0.05,,,,,,,,,0.28,0.31,,0.06,,,0.17,0.06,,,0.09,,,0.22,0.06,,0.24,0.36,0.27,0.35,,0.42,0.3,0.31,0.2,0.2,,0.29,0.32,0.12,0.29,,,0.41,0.11,,,,,0.2,,0.17,,0.31,,,,,,0.0
