E_NA1,E_MG1,E_AL1,E_CA1,E_SC1,E_SC2,E_TI1,E_V1,E_CR1,E_CR2,E_FE1,E_FE2,E_CO1,E_NI1,E_Y2,E_FEH
0.31,0.04,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.07736856
0.03,0.39,,0.23,,0.17,0.44,0.28,0.6,0.16,,,0.2,0.3,0.16,0.0
0.21,0.12,,0.66,,0.3,0.86,0.06,0.52,0.4,,,0.5,0.5,0.64,0.0
0.18,0.06,0.12,0.36,0.54,0.42,0.29,0.25,0.28,0.33,0.11,0.17,0.21,0.41,0.0,0.0
0.12,0.23,0.08,0.28,0.14,0.07,0.26,0.28,0.14,0.0,0.0,0.0,0.05,0.05,0.0,0.15893705
,0.12,,0.72,,0.35,0.72,0.48,0.78,0.34,,,0.21,0.57,0.23,0.0
0.25,0.34,0.27,0.45,0.12,0.24,0.47,0.48,0.42,0.32,0.26,0.3,0.34,0.31,0.28,0.0
0.53,0.08,,0.71,,0.37,0.65,0.42,0.64,0.48,,,0.57,0.58,0.53,0.0
0.01,0.05,0.06,0.03,0.06,0.0,0.09,0.06,0.01,0.0,0.03,0.07,0.03,0.02,0.02,0.01701927
0.11,0.02,0.01,0.07,0.01,0.0,0.06,0.06,0.01,0.0,0.0,0.04,0.01,0.04,0.06,0.052711926
0.05,0.06,0.03,0.03,0.17,0.0,0.16,0.05,0.04,0.27,0.0,0.0,0.05,0.1,0.14,0.005055624
0.06,0.02,0.06,0.01,0.04,0.0,0.06,0.06,0.09,0.0,0.0,0.0,0.01,0.03,0.22,0.021204848
,0.3,0.05,0.1,0.34,0.41,0.21,0.19,0.3,0.34,0.25,0.13,0.25,0.37,0.34,0.0
0.03,0.03,0.0,0.02,0.13,0.0,0.06,0.02,0.01,0.0,0.01,0.01,0.08,0.01,0.22,0.005464996
0.02,0.03,0.03,0.05,0.04,0.0,0.09,0.02,0.0,0.0,0.02,0.01,0.03,0.05,0.13,0.033982113
0.47,0.14,0.04,0.21,,0.2,0.56,0.13,0.37,0.36,0.25,0.16,0.5,0.37,0.56,0.0
0.69,0.12,,0.49,,0.12,0.35,0.36,0.53,0.44,,,0.55,0.69,0.49,0.0
0.05,0.08,,0.15,,0.22,0.01,0.12,0.46,0.16,,,0.14,0.47,0.39,0.0
0.65,0.65,0.14,0.89,0.53,0.26,0.17,0.13,0.39,0.7,0.0,0.0,0.03,0.06,,0.0
0.14,0.07,0.18,0.24,0.04,0.09,0.17,0.04,0.15,0.16,0.0,0.0,0.12,0.18,0.0,0.08431706
0.13,0.2,0.07,0.18,,0.27,0.11,0.2,0.11,0.19,0.0,0.0,0.22,0.1,0.0,0.0981465
0.15,0.24,0.1,0.18,0.07,0.12,0.22,0.21,0.16,0.33,0.18,0.21,0.14,0.24,0.25,0.06615501
0.08,0.13,0.11,0.15,0.15,0.24,0.2,0.24,0.18,0.19,0.16,0.21,0.18,0.23,0.16,0.062337406
0.08,0.09,0.09,0.16,0.12,0.1,0.16,0.15,0.15,0.17,0.11,0.12,0.16,0.16,0.14,0.06603488
0.34,0.07,0.06,0.26,0.11,0.22,0.21,0.15,0.16,0.21,0.1,0.17,0.14,0.24,0.15,0.06498293
0.16,0.11,0.22,0.17,0.01,0.18,0.2,0.21,0.2,0.2,0.18,0.19,0.22,0.25,0.19,0.06647054
0.19,0.25,0.11,0.16,0.09,0.15,0.22,0.19,0.23,0.18,0.18,0.18,0.2,0.26,0.2,0.066828154
,,,,0.17,,,,,,0.23,0.29,,,,0.14180268
0.19,0.11,0.08,0.18,0.04,0.28,0.25,0.24,0.17,0.08,0.16,0.17,0.22,0.26,0.19,0.06703454
0.14,0.12,0.16,0.2,0.26,0.15,0.2,0.24,0.21,0.2,0.17,0.17,0.24,0.22,0.19,0.068342544
0.12,0.07,0.12,0.14,0.08,0.11,0.16,0.14,0.14,0.12,0.13,0.11,0.12,0.15,0.18,0.064424396
0.16,0.08,0.17,0.19,0.05,0.13,0.18,0.17,0.18,0.15,0.15,0.15,0.16,0.17,0.13,0.06327179
0.09,0.09,0.09,0.19,0.07,0.13,0.18,0.2,0.16,0.12,0.12,0.12,0.11,0.15,0.15,0.06405362
0.26,0.06,0.08,0.14,0.14,0.21,0.15,0.14,0.17,0.12,0.13,0.11,0.16,0.18,0.13,0.06263888
0.22,0.22,0.12,0.2,0.07,0.18,0.21,0.2,0.19,0.14,0.18,0.18,0.19,0.21,0.19,0.06464045
0.08,0.16,0.18,0.21,0.04,0.14,0.15,0.17,0.13,0.2,0.12,0.12,0.11,0.15,0.14,0.06420083
0.1,0.07,0.04,0.17,0.11,0.18,0.13,0.15,0.14,0.17,0.08,0.13,0.12,0.17,0.14,0.06491988
0.21,0.08,0.03,0.19,0.09,0.19,0.19,0.11,0.13,0.21,0.1,0.16,0.15,0.22,0.15,0.06480604400000001
0.68,0.17,0.12,0.15,0.04,0.18,0.22,0.2,0.22,0.13,0.16,0.23,0.2,0.26,0.2,0.066302784
